Title,NumeroContrato,NombreContrato,UnidadCosto,NombreUnidadCosto,CodigoCentroCosto,NombreCentroCosto,Activo
CONT-060,7850277001:0001,JM SERV ESPECIALES,109,SERV ESPECIALES,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-061,9957547009:0001,MANTENCION ANTOFAGASTA,160,MANTENCION ANTOFAGASTA,10106,GERENCIA MANTENIMIENTO,1
CONT-062,9957547001:0001,MANTENCION CALAMA,122,MANTENCION CALAMA,10106,GERENCIA MANTENIMIENTO,1
CONT-063,9957547010:0001,MANTENCION IQUIQUE,161,MANTENCION IQUIQUE,10106,GERENCIA MANTENIMIENTO,1
CONT-064,9957547002:0001,MANTENCION LOS ANDES,108,MANTENCION LOS ANDES,10106,GERENCIA MANTENIMIENTO,1
CONT-065,9665191011:0001,NEWREST - ALBEMARLE,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-066,9665191010:0001,NEWREST - DAND,102,SERV ANDINA CONTRATISTAS,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-067,9665191013:0001,NEWREST - FRANKE,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-068,9665191012:0001,NEWREST - QB PUERTO TECK,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-069,9665191007:0001,NEWREST ANTUCOYA,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-070,9665191006:0001,NEWREST CASERONES,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-071,9665191008:0001,NEWREST CENTINELA,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-072,9665191003:0001,NEWREST COLLAHUASI,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-073,9665191005:0001,NEWREST CONCENTRADORA CENTINELA,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-074,9665191009:0001,NEWREST MUELLE,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-075,9665191004:0001,NEWREST ZALDIVAR,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-076,7842341001:0001,NOATUM - EL ABRA,106,SERV CONTRATISTAS CALAMA,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-077,0000000111:0001,PREVENCION DE RIESGOS,100,ADMINISTRACION,10110,GERENCIA PREVENCION DE RIESGOS,1
CONT-078,0000000109:0001,RECURSOS HUMANOS,100,ADMINISTRACION,10111,GERENCIA RECURSOS HUMANOS,1
CONT-079,8486500001:0001,RYQ PMCHS,152,SERV CODELCO - EECC PMCHS,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-080,7752259301:0001,SANTA ISADORA SQM,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-081,7608159002:0001,SIERRA GORDA OPERACIONES,110,SERV SIERRA GORDA,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-082,9462300004:0001,SODEXO - CERRO PABELLÓN,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-083,9462300001:0001,SODEXO SQM,115,SERV CAMBIO DE TURNO,10116,GERENCIA OPERACIONES ZONA III (NORTE COSTA),1
CONT-084,7805700001:0001,SOTRASER - DMH,106,SERV CONTRATISTAS CALAMA,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-085,7654304601:0001,SYNCORE - TALABRE,106,SERV CONTRATISTAS CALAMA,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-086,0000000112:0001,TECNOLOGIA E INFORMACION,100,ADMINISTRACION,10104,GERENCIA FINANZAS,1
CONT-087,7627009901:0001,TEPSAC DAND,102,SERV ANDINA CONTRATISTAS,10113,GERENCIA OPERACIONES ZONA I (CENTRO),1
CONT-088,0000000108:0001,TESORERIA,100,ADMINISTRACION,10104,GERENCIA FINANZAS,1
CONT-089,9999999996:0001,VENDIDO REPARACIONES PENDIENTES,100,ADMINISTRACION,10112,SOCIOS,1
CONT-090,9999999999:0001,VENTA,100,ADMINISTRACION,10112,SOCIOS,1
CONT-091,9695370002:0001,XTREME MINING PMCHS,152,SERV CODELCO - EECC PMCHS,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
CONT-092,0000000168:0001,ZONA II CONTRATISTAS,168,ZONA II CONTRATISTAS,10114,GERENCIA OPERACIONES ZONA II (NORTE INTERIOR),1
